Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,40,8.82,Ethyl acetate,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.753688811
Palladium(II) acetate,40,10.63,Ethyl acetate,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.709895105
Palladium(II) acetate,40,12.87,Ethyl acetate,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.765681818
Palladium(II) acetate,40,11.87,Methyl isobutyl ketone,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.779112536
Palladium(II) acetate,40,8.82,Methyl isobutyl ketone,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.798127214
Palladium(II) acetate,40,10.63,Methyl isobutyl ketone,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.510123165
Palladium(II) acetate,40,12.87,Methyl isobutyl ketone,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.532562848
Palladium(II) acetate,40,11.87,Cyclopentyl methyl ether,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.624005487
Palladium(II) acetate,40,8.82,Cyclopentyl methyl ether,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.709687929
Palladium(II) acetate,40,10.63,Cyclopentyl methyl ether,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.675771605
Palladium(II) acetate,40,12.87,Cyclopentyl methyl ether,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.739231824
Palladium(II) acetate,20,8.14,2-methyltetrahydrofuran,Potassium phosphate tribasic,N-acetyl cysteine,1,0.983355526
Palladium(II) acetate,20,9.35,2-methyltetrahydrofuran,Potassium bicarbonate,N-acetyl cysteine,1,0.983355526
Palladium(II) acetate,20,9.83,2-methyltetrahydrofuran,Potassium carbonate,N-acetyl cysteine,1,0.983355526
Palladium(II) acetate,20,11.79,2-methyltetrahydrofuran,Potassium hydroxide,N-acetyl cysteine,1,0.983355526
Palladium(II) acetate,20,8.14,Toluene,Potassium phosphate tribasic,N-acetyl cysteine,1,0.982431483
Palladium(II) acetate,20,9.35,Toluene,Potassium bicarbonate,N-acetyl cysteine,1,0.982431483
Palladium(II) acetate,20,9.83,Toluene,Potassium carbonate,N-acetyl cysteine,1,0.982431483
Palladium(II) acetate,20,11.79,Toluene,Potassium hydroxide,N-acetyl cysteine,1,0.982431483
Palladium(II) acetate,20,8.14,Ethyl acetate,Potassium phosphate tribasic,N-acetyl cysteine,1,0.982517483
Palladium(II) acetate,20,9.35,Ethyl acetate,Potassium bicarbonate,N-acetyl cysteine,1,0.982517483
Palladium(II) acetate,20,9.83,Ethyl acetate,Potassium carbonate,N-acetyl cysteine,1,0.982517483
Palladium(II) acetate,20,11.79,Ethyl acetate,Potassium hydroxide,N-acetyl cysteine,1,0.982517483
Palladium(II) acetate,20,8.14,Methyl isobutyl ketone,Potassium phosphate tribasic,N-acetyl cysteine,1,0.983128058
Palladium(II) acetate,20,9.35,Methyl isobutyl ketone,Potassium bicarbonate,N-acetyl cysteine,1,0.983128058
Palladium(II) acetate,20,9.83,Methyl isobutyl ketone,Potassium carbonate,N-acetyl cysteine,1,0.983128058
Palladium(II) acetate,20,11.79,Methyl isobutyl ketone,Potassium hydroxide,N-acetyl cysteine,1,0.983128058
Palladium(II) acetate,20,8.14,Cyclopentyl methyl ether,Potassium phosphate tribasic,N-acetyl cysteine,1,0.982853224
Palladium(II) acetate,20,9.35,Cyclopentyl methyl ether,Potassium bicarbonate,N-acetyl cysteine,1,0.982853224
Palladium(II) acetate,20,9.83,Cyclopentyl methyl ether,Potassium carbonate,N-acetyl cysteine,1,0.982853224
Palladium(II) acetate,20,11.79,Cyclopentyl methyl ether,Potassium hydroxide,N-acetyl cysteine,1,0.982853224
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,11.36,2-methyltetrahydrofuran,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.943683616
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.23,2-methyltetrahydrofuran,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.958367232
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,10.39,2-methyltetrahydrofuran,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.907717514
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.64,2-methyltetrahydrofuran,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.964536723
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,11.36,Toluene,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.946013514
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.23,Toluene,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.928868243
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,10.39,Toluene,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.939031532
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.64,Toluene,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.952347973
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,11.36,Ethyl acetate,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.876189693
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.23,Ethyl acetate,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.920005482
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,10.39,Ethyl acetate,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.919901316
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.64,Ethyl acetate,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.860734649
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,11.36,Methyl isobutyl ketone,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.909034406
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.23,Methyl isobutyl ketone,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.932203108
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,10.39,Methyl isobutyl ketone,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.906026637
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.64,Methyl isobutyl ketone,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.921193119
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,11.36,Cyclopentyl methyl ether,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.960168539
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.23,Cyclopentyl methyl ether,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.962679775
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,10.39,Cyclopentyl methyl ether,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.942595506
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.64,Cyclopentyl methyl ether,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.979668539
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.26,2-methyltetrahydrofuran,Potassium phosphate tribasic,N-acetyl cysteine,10,0.953621469
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,8.42,2-methyltetrahydrofuran,Potassium bicarbonate,N-acetyl cysteine,10,0.96519209
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.73,2-methyltetrahydrofuran,Potassium carbonate,N-acetyl cysteine,10,0.974248588
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.79,2-methyltetrahydrofuran,Potassium hydroxide,N-acetyl cysteine,10,0.934372881
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.26,Toluene,Potassium phosphate tribasic,N-acetyl cysteine,10,0.956807432
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,8.42,Toluene,Potassium bicarbonate,N-acetyl cysteine,10,0.962747748
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.73,Toluene,Potassium carbonate,N-acetyl cysteine,10,0.959560811
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.79,Toluene,Potassium hydroxide,N-acetyl cysteine,10,0.935945946
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.26,Ethyl acetate,Potassium phosphate tribasic,N-acetyl cysteine,10,0.957264254
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,8.42,Ethyl acetate,Potassium bicarbonate,N-acetyl cysteine,10,0.963174342
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.73,Ethyl acetate,Potassium carbonate,N-acetyl cysteine,10,0.94183114
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.79,Ethyl acetate,Potassium hydroxide,N-acetyl cysteine,10,0.921705044
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.26,Methyl isobutyl ketone,Potassium phosphate tribasic,N-acetyl cysteine,10,0.973307436
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,8.42,Methyl isobutyl ketone,Potassium bicarbonate,N-acetyl cysteine,10,0.961526082
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.73,Methyl isobutyl ketone,Potassium carbonate,N-acetyl cysteine,10,0.965105438
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.79,Methyl isobutyl ketone,Potassium hydroxide,N-acetyl cysteine,10,0.948490566
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.26,Cyclopentyl methyl ether,Potassium phosphate tribasic,N-acetyl cysteine,10,0.931393258
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,8.42,Cyclopentyl methyl ether,Potassium bicarbonate,N-acetyl cysteine,10,0.960235955
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,9.73,Cyclopentyl methyl ether,Potassium carbonate,N-acetyl cysteine,10,0.92555618
Bis[tris(2-methylphenyl)phosphine]palladium(0) ,20,12.79,Cyclopentyl methyl ether,Potassium hydroxide,N-acetyl cysteine,10,0.931314607
