Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,20,12.16,Toluene,Potassium hydroxide,Thiosalicylic Acid,5,0.982935154
Palladium(II) acetate,20,8.92,Ethyl acetate,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.982710927
Palladium(II) acetate,20,10.18,Ethyl acetate,Potassium bicarbonate,Thiosalicylic Acid,5,0.982710927
Palladium(II) acetate,20,10.09,Ethyl acetate,Potassium carbonate,Thiosalicylic Acid,5,0.982710927
Palladium(II) acetate,20,12.16,Ethyl acetate,Potassium hydroxide,Thiosalicylic Acid,5,0.982710927
Palladium(II) acetate,20,8.92,Methyl isobutyl ketone,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.940298507
Palladium(II) acetate,20,10.18,Methyl isobutyl ketone,Potassium bicarbonate,Thiosalicylic Acid,5,0.982231699
Palladium(II) acetate,20,10.09,Methyl isobutyl ketone,Potassium carbonate,Thiosalicylic Acid,5,0.982231699
Palladium(II) acetate,20,12.16,Methyl isobutyl ketone,Potassium hydroxide,Thiosalicylic Acid,5,0.982231699
Palladium(II) acetate,20,8.92,Cyclopentyl methyl ether,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.982282069
Palladium(II) acetate,20,10.18,Cyclopentyl methyl ether,Potassium bicarbonate,Thiosalicylic Acid,5,0.982282069
Palladium(II) acetate,20,10.09,Cyclopentyl methyl ether,Potassium carbonate,Thiosalicylic Acid,5,0.982282069
Palladium(II) acetate,20,12.16,Cyclopentyl methyl ether,Potassium hydroxide,Thiosalicylic Acid,5,0.982282069
Palladium(II) acetate,20,8.92,2-methyltetrahydrofuran,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.983027834
Palladium(II) acetate,20,10.57,2-methyltetrahydrofuran,Potassium bicarbonate,Thiosalicylic Acid,10,0.983027834
Palladium(II) acetate,20,9.96,2-methyltetrahydrofuran,Potassium carbonate,Thiosalicylic Acid,10,0.983027834
Palladium(II) acetate,20,12.24,2-methyltetrahydrofuran,Potassium hydroxide,Thiosalicylic Acid,10,0.983027834
Palladium(II) acetate,20,8.92,Toluene,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.982935154
Palladium(II) acetate,20,10.57,Toluene,Potassium bicarbonate,Thiosalicylic Acid,10,0.971843003
Palladium(II) acetate,20,9.96,Toluene,Potassium carbonate,Thiosalicylic Acid,10,0.982935154
Palladium(II) acetate,20,12.24,Toluene,Potassium hydroxide,Thiosalicylic Acid,10,0.982935154
Palladium(II) acetate,20,8.92,Ethyl acetate,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.982710927
Palladium(II) acetate,20,10.57,Ethyl acetate,Potassium bicarbonate,Thiosalicylic Acid,10,0.982710927
